Country,year,CAF,Bottom_Middle_Top_Third
Botswana,2019,30,Middle
Zimbabwe,2019,29,Middle
Pakistan,2019,29,Middle
Senegal,2019,28,Middle
Argentina,2019,28,Middle
Peru,2019,28,Middle
Mexico,2019,28,Middle
Brazil,2019,28,Middle
Gabon,2019,27,Middle
Congo,2019,27,Middle
Bangladesh,2019,26,Middle
Kazakhstan,2019,26,Middle
Ethiopia,2019,26,Middle
"Moldova, Republic of",2019,26,Middle
Morocco,2019,26,Middle
India,2019,26,Bottom
Jordan,2019,25,Bottom
Burkina Faso,2019,25,Bottom
Portugal,2019,25,Bottom
Slovakia,2019,25,Bottom
Chad,2019,25,Bottom
Estonia,2019,25,Bottom
Poland,2019,25,Bottom
Belarus,2019,25,Bottom
El Salvador,2019,25,Bottom
Mauritania,2019,25,Bottom
Niger,2019,24,Bottom
Ukraine,2019,24,Bottom
Mali,2019,24,Bottom
Romania,2019,24,Bottom
Ecuador,2019,24,Bottom
Tunisia,2019,24,Bottom
Azerbaijan,2019,24,Bottom
Cambodia,2019,24,Bottom
Benin,2019,23,Bottom
Egypt,2019,23,Bottom
Venezuela (Bolivarian Republic of),2019,23,Bottom
Albania,2019,23,Bottom
Hungary,2019,23,Bottom
Japan,2019,23,Bottom
Czechia,2019,22,Bottom
Latvia,2019,22,Bottom
Madagascar,2019,21,Bottom
Rwanda,2019,21,Bottom
Russian Federation,2019,21,Bottom
Georgia,2019,21,Bottom
Armenia,2019,21,Bottom
Croatia,2019,21,Bottom
Montenegro,2019,20,Bottom
Bulgaria,2019,19,Bottom
Serbia,2019,19,Bottom
Lithuania,2019,19,Bottom
Yemen,2019,17,Bottom
China,2019,16,Bottom
Greece,2019,16,Bottom
Bahrain,2019,,N/A
Norway,2019,,N/A
Iceland,2019,,N/A
Trinidad and Tobago,2019,,N/A
Mauritius,2019,,N/A
Libya,2019,,N/A
Hong Kong,2019,,N/A
Gambia,2019,,N/A
Kuwait,2019,,N/A
South Sudan,2019,,N/A
Jamaica,2019,,N/A
"Congo, Democratic Republic of the",2019,,N/A
"Taiwan, Province of China",2019,,N/A
Central African Republic,2019,,N/A
Namibia,2019,,N/A
Mozambique,2019,,N/A
"Tanzania, United Republic of",2019,,N/A
Bosnia and Herzegovina,2019,,N/A
Algeria,2019,,N/A
Lesotho,2019,,N/A
Côte d'Ivoire,2019,,N/A
Togo,2019,,N/A
North Macedonia,2019,,N/A
Türkiye,2019,,N/A
Lao People's Democratic Republic,2019,,N/A
