Country,2018_Rank,2018_CAF,2019_Rank,2019_CAF,2021_Rank,2021_CAF,2022_Rank,2022_CAF
Morocco,104,26,83.0,26.0,109.0,23.0,103.0,31.0
Benin,105,26,106.0,23.0,91.0,29.0,98.0,32.0
Egypt,106,26,104.0,23.0,68.0,33.0,116.0,23.0
Venezuela,107,26,108.0,23.0,53.0,35.0,36.0,45.0
Albania,108,26,105.0,23.0,65.0,33.0,96.0,34.0
Estonia,109,26,95.0,25.0,84.0,30.0,64.0,40.0
Russian Federation,110,25,117.0,21.0,67.0,33.0,30.0,46.0
Côte d'Ivoire,111,25,,,,,,
Poland,112,24,86.0,25.0,37.0,38.0,16.0,47.0
Gabon,113,24,77.0,27.0,103.0,26.0,95.0,34.0
Mexico,114,24,73.0,28.0,73.0,32.0,37.0,44.0
Congo (Brazzaville),115,24,76.0,27.0,56.0,35.0,,
Montenegro,116,24,119.0,20.0,59.0,34.0,,
Togo,117,24,,,,,92.0,34.0
Georgia,118,24,112.0,21.0,28.0,40.0,104.0,31.0
Ecuador,119,24,98.0,24.0,90.0,29.0,52.0,42.0
Hungary,120,23,109.0,23.0,82.0,31.0,62.0,40.0
Belarus,121,23,92.0,25.0,,,,
Brazil,122,23,74.0,28.0,54.0,35.0,18.0,47.0
Armenia,123,23,114.0,21.0,,,110.0,29.0
India,124,22,82.0,26.0,14.0,44.0,57.0,40.0
Czech Republic,125,22,111.0,22.0,88.0,30.0,13.0,48.0
Bulgaria,126,22,120.0,19.0,45.0,37.0,54.0,41.0
El Salvador,127,22,93.0,25.0,79.0,31.0,86.0,36.0
Japan,128,22,107.0,23.0,114.0,12.0,118.0,20.0
Serbia,129,21,123.0,19.0,48.0,35.0,27.0,46.0
Macedonia (FYRO),130,20,,,,,,
Turkey,131,20,,,78.0,31.0,63.0,40.0
Croatia,132,20,118.0,21.0,86.0,30.0,82.0,37.0
Mauritania,133,20,85.0,25.0,,,,
Lao People's DemocraticRepublic,134,20,,,,,,
Tunisia,135,20,103.0,24.0,89.0,29.0,112.0,28.0
Afghanistan,136,19,63.0,31.0,,,117.0,21.0
Latvia,137,19,110.0,22.0,105.0,25.0,111.0,29.0
Lithuania,138,19,121.0,19.0,99.0,28.0,83.0,37.0
Azerbaijan,139,18,99.0,24.0,,,,
Cambodia,140,18,102.0,24.0,93.0,28.0,119.0,19.0
Palestine (State of),141,17,,,,,,
China,142,17,126.0,16.0,95.0,28.0,49.0,42.0
Greece,143,17,125.0,16.0,101.0,26.0,102.0,32.0
Yemen,144,15,124.0,17.0,,,,
