Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Qatar,30.8,31.2,33.0,32,,,,
Saudi Arabia,28.9,28.9,29.8,32,37.0,34.0,35.0,36.0
"Palestine, State of",18.7,18.9,19.2,21,,,,
Syrian Arab Republic,19.0,19.7,20.9,,,,,
Türkiye,29.8,30.2,30.9,,,,,
United Arab Emirates,30.8,31.3,32.8,33,51.0,45.0,44.0,47.0
Yemen,18.2,18.4,18.7,20,15.0,17.0,,
Belarus,39.4,39.7,40.2,40,23.0,25.0,,
Bulgaria,43.5,43.9,44.5,45,22.0,19.0,37.0,41.0
Czechia,41.5,41.9,42.6,,,,,
Hungary,41.8,42.1,42.7,43,23.0,23.0,31.0,40.0
Poland,39.8,40.2,40.9,42,24.0,25.0,38.0,47.0
"Moldova, Republic of",35.3,35.6,36.1,,,,,
Romania,41.0,41.3,41.9,43,27.0,24.0,28.0,30.0
Russian Federation,38.1,38.3,38.8,,25.0,21.0,33.0,46.0
Slovakia,39.4,39.8,40.6,41,28.0,25.0,32.0,41.0
Ukraine,39.9,40.2,40.8,41,29.0,24.0,43.0,49.0
Denmark,41.1,41.1,41.3,42,46.0,44.0,37.0,46.0
Estonia,41.0,41.2,41.5,42,26.0,25.0,30.0,40.0
Faroe Islands,38.1,38.0,37.9,,,,,
Finland,41.8,42.0,42.4,43,40.0,41.0,31.0,37.0
Guernsey,42.1,40.4,39.0,,,,,
Iceland,35.4,35.5,35.9,37,48.0,,36.0,46.0
Ireland,36.5,36.9,37.6,38,56.0,56.0,40.0,49.0
Isle of Man,44.5,44.8,45.3,,,,,
Jersey,39.8,39.7,39.8,,,,,
Latvia,42.9,43.2,43.6,44,19.0,22.0,25.0,29.0
Lithuania,43.0,43.3,43.7,45,19.0,19.0,28.0,37.0
Norway,38.6,38.8,39.3,40,50.0,,36.0,45.0
Sweden,39.6,39.6,39.5,41,41.0,40.0,34.0,42.0
United Kingdom of Great Britain and Northern Ireland,39.1,39.3,39.6,40,,,,
Albania,36.0,36.5,37.3,36,26.0,23.0,33.0,34.0
Andorra,41.3,41.7,42.5,,,,,
Bosnia and Herzegovina,40.7,41.1,41.8,43,28.0,,,44.0
Croatia,43.0,43.3,43.7,44,20.0,21.0,30.0,37.0
Gibraltar,40.7,41.1,41.7,,,,,
Greece,43.5,43.9,44.7,46,17.0,16.0,26.0,32.0
Holy See,...,...,...,,,,,
