Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Continent
Bolivia (Plurinational State of),0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,South America
Bosnia and Herzegovina,0.39,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.43,0.39,0.39,0.4,0.41,0.42,0.42,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,Europe
Botswana,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.7,0.75,0.74,0.73,0.72,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Africa
Brazil,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.68,0.69,0.68,0.67,0.67,0.68,0.68,0.68,0.68,0.67,0.69,0.69,South America
Brunei Darussalam,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,Asia
Bulgaria,0.33,0.33,0.35,0.34,0.34,0.33,0.32,0.3,0.29,0.33,0.36,0.4,0.44,0.45,0.5,0.51,0.5,0.49,0.47,0.47,0.46,0.47,0.49,0.48,0.47,0.48,0.49,0.47,0.46,0.55,0.47,0.47,0.49,0.47,0.5,0.51,0.53,0.55,0.55,0.53,0.53,0.53,Europe
Burkina Faso,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.69,0.7,0.68,0.67,0.65,0.64,0.62,0.62,0.62,0.61,0.61,0.61,0.65,0.6,0.59,0.58,0.58,0.57,0.59,0.61,0.63,0.65,0.65,0.65,0.65,Africa
Burundi,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.56,0.57,0.59,0.6,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.56,0.56,0.59,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,Africa
Cabo Verde,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.67,0.66,0.66,0.65,0.61,0.64,0.63,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,Africa
Cambodia,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.58,0.67,0.59,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,Asia
Cameroon,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,Africa
Canada,0.5,0.49,0.49,0.5,0.49,0.49,0.48,0.48,0.48,0.49,0.47,0.47,0.48,0.49,0.52,0.5,0.5,0.51,0.51,0.51,0.53,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.51,0.54,0.52,0.52,0.52,0.52,North America
Central African Republic,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,Africa
Chad,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.58,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.58,Africa
Chile,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.71,0.72,0.73,0.74,0.74,0.74,0.73,0.75,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72,South America
China,0.38,0.39,0.39,0.39,0.4,0.4,0.42,0.42,0.43,0.44,0.43,0.45,0.46,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.5,0.51,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.56,0.57,0.56,0.55,0.56,0.55,0.56,0.55,0.56,0.56,0.56,0.56,0.57,Asia
Colombia,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.69,0.68,0.68,0.69,0.69,0.66,0.68,0.68,0.66,0.66,0.66,0.65,0.65,0.65,0.66,0.68,0.69,0.69,South America
Comoros,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.72,0.7,0.69,0.62,0.67,0.66,0.64,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,Africa
Congo,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,Africa
Costa Rica,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.66,0.66,0.67,0.68,0.67,0.67,0.68,0.66,0.67,0.67,0.7,0.7,North America
Côte d'Ivoire,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.61,0.6,0.58,0.56,0.57,0.58,0.59,0.59,0.6,0.61,0.62,0.63,0.65,0.64,0.63,0.63,0.62,0.62,0.61,0.6,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,Africa
Croatia,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.39,0.4,0.44,0.43,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.47,0.48,0.46,0.46,0.45,0.44,0.45,0.46,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.46,0.47,0.47,0.46,0.46,0.47,0.47,0.47,0.47,Europe
Cuba,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.64,0.63,0.62,0.61,0.63,0.61,0.57,0.59,0.57,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.59,0.59,North America
Cyprus,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.51,0.48,0.47,0.48,0.49,0.48,0.43,0.43,0.44,0.43,0.47,0.49,0.46,0.49,0.5,0.53,0.5,0.5,0.48,0.47,0.49,0.46,0.46,0.46,Europe
