Country,Year,Gini,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,1980,0.52,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.5,0.49,0.5,0.5,0.5,0.51,0.52,0.52,0.52,0.52,0.52
Albania,1980,0.47,,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.47,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.49,0.5,0.49,0.51,0.5,0.49,0.48,0.48,0.48
Algeria,1980,0.61,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5
Angola,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.65,0.64,0.63,0.62,0.61,0.69,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.68,0.69,0.69,0.69,0.69
Argentina,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.66,0.67,0.62,0.6,0.59,0.58,0.59,0.59,0.59,0.57,0.55,0.54,0.54,0.56,0.56,0.57,0.58,0.59,0.59,0.59,0.59
Armenia,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.53,0.54,0.53,0.56,0.55,0.48,0.5,0.48,0.54,0.5,0.48,0.48,0.49,0.5,0.51,0.52,0.54,0.54,0.5,0.5,0.5
Australia,1980,0.42,,0.42,0.42,0.43,0.42,0.42,0.43,0.43,0.45,0.46,0.44,0.44,0.45,0.45,0.45,0.46,0.45,0.45,0.46,0.46,0.47,0.47,0.46,0.47,0.47,0.47,0.48,0.49,0.48,0.46,0.49,0.48,0.47,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.49
Austria,1980,0.44,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.45,0.44,0.45,0.46,0.44,0.46,0.47,0.46,0.46,0.43,0.45,0.44,0.43,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.44,0.44
Azerbaijan,1980,0.56,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.48,0.47,0.48,0.49,0.54,0.56,0.49,0.48,0.47,0.48,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.48,0.48
Bahamas,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Bahrain,1980,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.66,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
Bangladesh,1980,0.47,,0.47,0.47,0.47,0.47,0.48,0.49,0.5,0.5,0.51,0.5,0.5,0.49,0.51,0.52,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.53,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Belarus,1980,0.39,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.44,0.46,0.47,0.49,0.49,0.49,0.49,0.47,0.47,0.46,0.44,0.45,0.45,0.47,0.46,0.43,0.45,0.48,0.46,0.43,0.44,0.42,0.43,0.43,0.43,0.43,0.43,0.43
Belgium,1980,0.42,,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.44,0.45,0.45,0.45,0.44,0.44,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.45,0.45,0.45,0.45,0.44,0.45,0.44,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45
Belize,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Benin,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.58,0.62,0.63,0.63,0.63,0.64,0.64,0.62,0.6,0.58,0.58,0.58,0.58
Bhutan,1980,0.61,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.55,0.58,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.55,0.55,0.55,0.55
Bolivia,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66
Bosnia and Herzegovina,1980,0.39,,0.39,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.43,0.39,0.39,0.4,0.41,0.42,0.42,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Botswana,1980,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.7,0.75,0.74,0.73,0.72,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Brazil,1980,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.68,0.69,0.68,0.67,0.67,0.68,0.68,0.68,0.68,0.67,0.69,0.69
Brunei Darussalam,1980,0.48,,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48
Bulgaria,1980,0.33,,0.33,0.33,0.35,0.34,0.34,0.33,0.32,0.3,0.29,0.33,0.36,0.4,0.44,0.45,0.5,0.51,0.5,0.49,0.47,0.47,0.46,0.47,0.49,0.48,0.47,0.48,0.49,0.47,0.46,0.55,0.47,0.47,0.49,0.47,0.5,0.51,0.53,0.55,0.55,0.53,0.53,0.53
Burkina Faso,1980,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68,0.69,0.7,0.68,0.67,0.65,0.64,0.62,0.62,0.62,0.61,0.61,0.61,0.65,0.6,0.59,0.58,0.58,0.57,0.59,0.61,0.63,0.65,0.65,0.65,0.65
Burundi,1980,0.54,,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.56,0.57,0.59,0.6,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.56,0.56,0.59,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Cabo Verde,1980,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.67,0.66,0.66,0.65,0.61,0.64,0.63,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Cambodia,1980,0.68,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.58,0.67,0.59,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
Cameroon,1980,0.64,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
Canada,1980,0.5,,0.5,0.49,0.49,0.5,0.49,0.49,0.48,0.48,0.48,0.49,0.47,0.47,0.48,0.49,0.52,0.5,0.5,0.51,0.51,0.51,0.53,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.51,0.54,0.52,0.52,0.52,0.52
Central African Republic,1980,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
Chad,1980,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.58,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.58
Chile,1980,0.73,,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.71,0.72,0.73,0.74,0.74,0.74,0.73,0.75,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72
China,1980,0.38,,0.38,0.39,0.39,0.39,0.4,0.4,0.42,0.42,0.43,0.44,0.43,0.45,0.46,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.5,0.51,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.56,0.57,0.56,0.55,0.56,0.55,0.56,0.55,0.56,0.56,0.56,0.56,0.57
