,Country,CAF_x,Religiosity,Median_Age,Total_Population,CAF_2018,CAF_2019,CAF_2021,CAF_y
90,Bulgaria,41,34,45.0,6948445.0,22.0,19.0,37.0,41.0
91,El Salvador,36,77,28.0,6486205.0,22.0,25.0,31.0,36.0
92,Japan,20,14,48.0,126476461.0,22.0,23.0,12.0,20.0
93,Serbia,46,54,42.0,8737371.0,21.0,19.0,35.0,46.0
94,Croatia,37,70,44.0,4105267.0,20.0,21.0,30.0,37.0
95,Tunisia,28,93,33.0,11818619.0,20.0,24.0,29.0,28.0
96,Afghanistan,21,97,,,,,,
97,Latvia,29,29,44.0,1886198.0,19.0,22.0,25.0,29.0
98,Lithuania,37,40,45.0,2722289.0,19.0,19.0,28.0,37.0
99,Cambodia,19,96,26.0,16718965.0,18.0,24.0,28.0,19.0
100,Greece,32,71,46.0,10423054.0,17.0,16.0,26.0,32.0
