Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Philippines,  107 664,  109 474,  113 094,109581078.0,28.0,39.0,33.0,47.0
Singapore,  5 790,  5 839,  5 926,5850342.0,54.0,35.0,,45.0
Thailand,  71 029,  71 226,  71 562,69799978.0,34.0,42.0,46.0,48.0
Timor-Leste,  1 253,  1 271,  1 310,1318445.0,,,,
Viet Nam,  94 479,  95 350,  97 094,,,,,
Armenia,  2 844,  2 829,  2 799,2963243.0,23.0,21.0,,29.0
Azerbaijan,  10 113,  10 192,  10 296,10139177.0,18.0,24.0,,
Bahrain,  1 480,  1 494,  1 461,1701575.0,53.0,,45.0,
Cyprus,  1 214,  1 224,  1 241,1207359.0,43.0,41.0,32.0,40.0
Georgia,  3 772,  3 772,  3 763,3989167.0,24.0,21.0,40.0,31.0
Iraq,  40 097,  41 084,  43 071,40222493.0,43.0,34.0,39.0,37.0
Israel,  8 383,  8 530,  8 829,8655535.0,42.0,39.0,28.0,37.0
Jordan,  10 339,  10 580,  11 040,10203134.0,30.0,25.0,26.0,32.0
Kuwait,  4 221,  4 414,  4 253,4270571.0,43.0,,,
Lebanon,  6 032,  5 869,  5 631,6825445.0,28.0,30.0,24.0,24.0
Oman,  4 586,  4 616,  4 498,5106626.0,,,,
Qatar,  2 748,  2 786,  2 692,2881053.0,,,,
Saudi Arabia,  34 612,  35 425,  35 764,34813871.0,37.0,34.0,35.0,36.0
State of Palestine,  4 754,  4 858,  5 077,5101414.0,,,,
Syrian Arab Republic,  18 956,  19 710,  21 059,,,,,
Türkiye,  82 467,  83 152,  84 459,,,,,
United Arab Emirates,  9 105,  9 176,  9 327,9890402.0,51.0,45.0,44.0,47.0
Yemen,  30 415,  31 166,  32 641,29825964.0,15.0,17.0,,
Belarus,  9 704,  9 687,  9 606,9449323.0,23.0,25.0,,
Bulgaria,  7 150,  7 085,  6 938,6948445.0,22.0,19.0,37.0,41.0
Czechia,  10 533,  10 536,  10 524,,,,,
Hungary,  9 779,  9 773,  9 731,9660351.0,23.0,23.0,31.0,40.0
Poland,  38 534,  38 509,  38 379,37846611.0,24.0,25.0,38.0,47.0
Republic of Moldova,  3 160,  3 124,  3 075,,,,,
Romania,  19 655,  19 559,  19 394,19237691.0,27.0,24.0,28.0,30.0
Russian Federation,  145 582,  145 723,  145 473,,25.0,21.0,33.0,46.0
Slovakia,  5 443,  5 450,  5 456,5459642.0,28.0,25.0,32.0,41.0
Ukraine,  44 562,  44 331,  43 729,43733762.0,29.0,24.0,43.0,49.0
Denmark,  5 752,  5 781,  5 841,5792202.0,46.0,44.0,37.0,46.0
Estonia,  1 319,  1 325,  1 330,1326535.0,26.0,25.0,30.0,40.0
Faroe Islands,   51,   51,   53,,,,,
Finland,  5 513,  5 518,  5 534,5540720.0,40.0,41.0,31.0,37.0
Guernsey,   62,   62,   63,,,,,
Iceland,   349,   357,   369,341243.0,48.0,,36.0,46.0
Ireland,  4 802,  4 867,  4 967,4937786.0,56.0,56.0,40.0,49.0
Isle of Man,   84,   84,   84,85033.0,,,,
Jersey,   104,   106,   109,,,,,
Latvia,  1 945,  1 926,  1 887,1886198.0,19.0,22.0,25.0,29.0
Lithuania,  2 890,  2 862,  2 805,2722289.0,19.0,19.0,28.0,37.0
Norway,  5 296,  5 329,  5 392,5421241.0,50.0,,36.0,45.0
Sweden,  10 110,  10 214,  10 417,10099265.0,41.0,40.0,34.0,42.0
United Kingdom,  66 260,  66 606,  67 168,67886011.0,55.0,54.0,41.0,47.0
Albania,  2 878,  2 876,  2 862,2877797.0,26.0,23.0,33.0,34.0
Andorra,   74,   76,   78,77265.0,,,,
Bosnia and Herzegovina,  3 420,  3 380,  3 296,3280819.0,28.0,,,44.0
Croatia,  4 176,  4 145,  4 079,4105267.0,20.0,21.0,30.0,37.0
Gibraltar,   33,   33,   33,33691.0,,,,
Greece,  10 662,  10 605,  10 481,10423054.0,17.0,16.0,26.0,32.0
Holy See,   1,   1,   1,801.0,,,,
Italy,  59 939,  59 816,  59 361,60461826.0,33.0,33.0,22.0,29.0
Kosovo (under UNSC res. 1244),  1 721,  1 699,  1 666,,,,,
Malta,   485,   498,   521,441543.0,47.0,47.0,31.0,45.0
Montenegro,   632,   631,   628,628066.0,24.0,20.0,34.0,
North Macedonia,  2 113,  2 114,  2 108,2083374.0,,,,
Portugal,  10 298,  10 281,  10 298,10196709.0,28.0,25.0,20.0,26.0
San Marino,   34,   34,   34,33931.0,,,,
Serbia,  7 450,  7 418,  7 332,8737371.0,21.0,19.0,35.0,46.0
Slovenia,  2 102,  2 110,  2 119,2078938.0,39.0,38.0,28.0,39.0
Spain,  46 651,  46 933,  47 398,46754778.0,36.0,32.0,27.0,32.0
Austria,  8 822,  8 859,  8 914,9006398.0,44.0,45.0,34.0,45.0
Belgium,  11 417,  11 480,  11 582,11589623.0,41.0,36.0,21.0,
France,  64 214,  64 342,  64 502,65273511.0,32.0,30.0,25.0,32.0
Germany,  82 765,  83 029,  83 390,83783942.0,46.0,43.0,30.0,41.0
Liechtenstein,   38,   38,   39,38128.0,,,,
Luxembourg,   602,   614,   635,625978.0,41.0,40.0,,
Monaco,   37,   37,   37,39242.0,,,,
Netherlands,  17 248,  17 324,  17 467,17134872.0,51.0,53.0,37.0,46.0
Switzerland,  8 484,  8 545,  8 671,8654622.0,45.0,45.0,28.0,37.0
Anguilla,   15,   15,   16,15003.0,,,,
Antigua and Barbuda,   91,   92,   93,97929.0,,,,
Aruba,   106,   106,   107,106766.0,,,,
Bahamas,   400,   403,   407,393244.0,,,,
Barbados,   279,   280,   281,287375.0,,,,
"Bonaire, Sint Eustatius and Saba",   25,   25,   26,,,,,
British Virgin Islands,   30,   30,   31,30231.0,,,,
Cayman Islands,   64,   66,   68,65722.0,,,,
Cuba,  11 332,  11 324,  11 292,11326616.0,,,,
Curaçao,   172,   198,   190,164093.0,,,,
Dominica,   71,   71,   72,71986.0,,,,
Dominican Republic,  10 707,  10 824,  11 060,10847910.0,39.0,39.0,39.0,44.0
Grenada,   121,   122,   124,112523.0,,,,
Guadeloupe,   397,   396,   396,400124.0,,,,
Haiti,  10 938,  11 086,  11 379,11402528.0,49.0,40.0,,
Jamaica,  2 811,  2 813,  2 826,2961167.0,36.0,,34.0,46.0
Martinique,   376,   374,   370,375265.0,,,,
Montserrat,   4,   4,   4,4992.0,,,,
Puerto Rico,  3 333,  3 306,  3 263,2860853.0,,,,
Saint Barthélemy,   10,   10,   11,,,,,
Saint Kitts and Nevis,   48,   48,   48,,,,,
Saint Lucia,   178,   178,   180,183627.0,,,,
Saint Martin (French part),   34,   33,   32,,,,,
Saint Vincent and the Grenadines,   105,   105,   105,,,,,
Sint Maarten (Dutch part),   42,   43,   44,,,,,
Trinidad and Tobago,  1 483,  1 526,  1 522,1399488.0,46.0,,,
Turks and Caicos Islands,   41,   42,   45,,,,,
United States Virgin Islands,   102,   101,   100,,,,,
Belize,   378,   386,   397,397628.0,,,,
Costa Rica,  5 018,  5 064,  5 141,5094118.0,34.0,38.0,30.0,44.0
El Salvador,  6 273,  6 280,  6 305,6486205.0,22.0,25.0,31.0,36.0
Guatemala,  16 719,  16 982,  17 494,17915568.0,34.0,40.0,,
Honduras,  9 710,  9 876,  10 202,9904607.0,39.0,36.0,,46.0
Mexico,  123 468,  124 560,  126 386,128932753.0,24.0,28.0,32.0,44.0
Nicaragua,  6 526,  6 618,  6 802,6624554.0,33.0,30.0,37.0,40.0
Panama,  4 131,  4 200,  4 323,4314767.0,30.0,35.0,,36.0
Argentina,  44 245,  44 583,  45 164,45195774.0,28.0,28.0,32.0,47.0
Bolivia (Plurinational State of),  11 522,  11 692,  12 010,,,,,
Brazil,  209 332,  211 001,  213 828,212559417.0,23.0,28.0,35.0,47.0
Chile,  18 531,  18 872,  19 394,19116201.0,34.0,37.0,39.0,38.0
Colombia,  48 796,  49 758,  51 244,50882891.0,29.0,35.0,35.0,42.0
Ecuador,  16 831,  17 200,  17 690,17643054.0,24.0,24.0,29.0,42.0
Falkland Islands (Malvinas),   4,   4,   4,,,,,
French Guiana,   273,   280,   294,298682.0,,,,
Guyana,   765,   806,   803,786552.0,,,,
Paraguay,  6 400,  6 487,  6 664,7132538.0,34.0,32.0,41.0,44.0
Peru,  31 848,  32 559,  33 519,32971854.0,27.0,28.0,34.0,39.0
Suriname,   591,   597,   610,586632.0,,,,
Uruguay,  3 426,  3 429,  3 430,3473730.0,30.0,30.0,32.0,40.0
Venezuela (Bolivarian Republic of),  30 337,  29 315,  28 352,,,,,
Bermuda,   63,   64,   64,62278.0,,,,
Canada,  36 784,  37 287,  38 019,37742154.0,49.0,55.0,38.0,51.0
Greenland,   56,   56,   56,56770.0,,,,
Saint Pierre and Miquelon,   6,   6,   6,,,,,
United States of America,  331 029,  333 251,  336 496,,58.0,58.0,,59.0
Australia,  24 788,  25 170,  25 796,25499884.0,59.0,56.0,49.0,55.0
New Zealand,  4 785,  4 892,  5 096,4822233.0,58.0,57.0,47.0,54.0
Fiji,   919,   919,   923,896445.0,,,,
New Caledonia,   285,   285,   287,285498.0,,,,
Papua New Guinea,  9 222,  9 436,  9 850,8947024.0,,,,
Solomon Islands,   651,   667,   699,686884.0,,,,
Vanuatu,   294,   301,   315,307145.0,,,,
Guam,   169,   169,   170,168775.0,,,,
Kiribati,   121,   123,   128,119449.0,,,,
Marshall Islands,   47,   45,   43,59190.0,,,,
Micronesia (Fed. States of),   111,   111,   113,,,,,
Nauru,   12,   12,   12,10824.0,,,,
Northern Mariana Islands,   51,   50,   50,57559.0,,,,
Palau,   18,   18,   18,18094.0,,,,
American Samoa,   49,   48,   46,55191.0,,,,
Cook Islands,   17,   17,   17,17564.0,,,,
French Polynesia,   297,   299,   303,280908.0,,,,
Niue,   2,   2,   2,1626.0,,,,
Samoa,   209,   211,   217,198414.0,,,,
Tokelau,   2,   2,   2,1357.0,,,,
Tonga,   105,   105,   106,105695.0,,,,
Tuvalu,   11,   11,   11,11792.0,,,,
Wallis and Futuna Islands,   12,   12,   12,,,,,
