Country,CAF World Giving Index score (%) 2018,Helping a stranger (%) 2018,Donating money (%) 2018,Volunteering time (%) 2018,CAF World Giving Index score (%) 2019,Helping a stranger (%) 2019,Donating money (%) 2019,Volunteering time (%) 2019,CAF World Giving Index score (%) 2021,Helping a stranger (%) 2021,Donating money (%) 2021,Volunteering time (%) 2021,CAF World Giving Index score (%) 2022,Helping a stranger (%) 2022,Donating money (%) 2022,Volunteering time (%) 2022
Spain,36,56.0,35,17,32.0,51.0,30.0,16.0,27.0,41.0,26.0,13.0,32.0,50.0,31.0,16.0
Kyrgyzstan,36,52.0,38,18,33.0,47.0,28.0,25.0,38.0,59.0,34.0,22.0,44.0,65.0,44.0,23.0
Jamaica,36,63.0,15,29,,,,,34.0,67.0,13.0,23.0,46.0,80.0,20.0,36.0
Malawi,35,66.0,15,26,38.0,64.0,21.0,29.0,,,,,39.0,73.0,14.0,30.0
Dem. Rep. of the Congo,35,56.0,19,29,,,,,,,,,,,,
Paraguay,34,53.0,28,22,32.0,40.0,34.0,22.0,41.0,64.0,37.0,21.0,44.0,71.0,33.0,29.0
Republic of Korea,34,47.0,40,15,32.0,43.0,34.0,20.0,22.0,29.0,28.0,10.0,,,,
Chile,34,54.0,33,15,37.0,53.0,44.0,15.0,39.0,67.0,38.0,14.0,38.0,67.0,30.0,16.0
Thailand,34,36.0,53,12,42.0,41.0,71.0,15.0,46.0,60.0,60.0,17.0,48.0,64.0,62.0,19.0
Costa Rica,34,59.0,25,17,38.0,59.0,31.0,22.0,30.0,58.0,20.0,12.0,44.0,78.0,32.0,22.0
Cameroon,34,67.0,18,16,33.0,63.0,19.0,16.0,43.0,78.0,26.0,24.0,37.0,71.0,19.0,22.0
"Taiwan, Province of China",34,49.0,33,19,,,,,,,,,,,,
Guatemala,34,51.0,21,28,40.0,55.0,32.0,34.0,,,,,,,,
Kosovo,33,50.0,40,10,31.0,45.0,39.0,11.0,46.0,68.0,59.0,10.0,43.0,64.0,56.0,11.0
Nicaragua,33,52.0,26,22,30.0,42.0,28.0,20.0,37.0,63.0,28.0,20.0,40.0,64.0,27.0,30.0
Italy,33,46.0,35,17,33.0,45.0,38.0,16.0,22.0,33.0,23.0,9.0,29.0,44.0,30.0,14.0
Central African Republic,32,52.0,18,27,,,,,,,,,,,,
Guinea,32,52.0,22,24,34.0,57.0,21.0,23.0,,,,,47.0,72.0,35.0,33.0
Niger,32,66.0,10,20,24.0,52.0,9.0,11.0,,,,,,,,
France,32,37.0,27,31,30.0,36.0,27.0,27.0,25.0,31.0,22.0,23.0,32.0,38.0,30.0,29.0
Namibia,32,64.0,10,21,,,,,37.0,69.0,17.0,24.0,35.0,68.0,13.0,23.0
Bangladesh,31,57.0,23,13,26.0,51.0,16.0,11.0,33.0,63.0,22.0,13.0,,,,
Jordan,30,68.0,13,9,25.0,49.0,18.0,7.0,26.0,61.0,13.0,5.0,32.0,73.0,14.0,9.0
Zimbabwe,30,61.0,10,18,29.0,55.0,10.0,21.0,37.0,65.0,18.0,27.0,31.0,63.0,10.0,19.0
Uruguay,30,49.0,25,15,30.0,49.0,26.0,15.0,32.0,57.0,25.0,14.0,40.0,72.0,30.0,19.0
Panama,30,48.0,20,21,35.0,47.0,32.0,25.0,,,,,36.0,64.0,22.0,23.0
Mozambique,29,50.0,11,27,,,,,,,,,34.0,53.0,18.0,30.0
Colombia,29,56.0,15,17,35.0,61.0,22.0,20.0,35.0,67.0,22.0,16.0,42.0,76.0,25.0,24.0
Ukraine,29,42.0,29,15,24.0,35.0,18.0,19.0,43.0,66.0,43.0,19.0,49.0,75.0,47.0,24.0
Burkina Faso,29,56.0,11,19,25.0,49.0,13.0,15.0,,,,,39.0,61.0,24.0,32.0
Portugal,28,50.0,20,15,25.0,42.0,20.0,14.0,20.0,37.0,13.0,10.0,26.0,52.0,17.0,10.0
Tanzania (United Rep. of),28,47.0,30,8,,,,,,,,,,,,
Lebanon,28,49.0,24,12,30.0,47.0,33.0,10.0,24.0,46.0,17.0,8.0,24.0,50.0,14.0,9.0
Bolivia,28,49.0,15,21,31.0,51.0,22.0,21.0,35.0,64.0,22.0,19.0,43.0,75.0,22.0,33.0
Senegal,28,54.0,16,15,28.0,58.0,13.0,14.0,35.0,68.0,16.0,21.0,40.0,71.0,24.0,25.0
Slovakia,28,32.0,31,22,25.0,32.0,28.0,14.0,32.0,53.0,29.0,14.0,41.0,63.0,42.0,19.0
