Country,GDPpc_2018,GDPpc_2019,GDPpc_2021,GDPpc_2022,2018,2019,2021,2022
Czechia,23419.74,23660.15,26378.5,,,,,
Denmark,61591.93,59775.74,67803.05,58932.0,46.0,44.0,37.0,46.0
Djibouti,3038.27,3172.75,3363.71,145.0,,,,
Dominica,7745.38,8516.28,7559.98,11072.0,,,,
Dominican Republic,8050.64,8282.12,8603.79,18608.0,39.0,39.0,39.0,44.0
Ecuador,6295.93,6222.52,5934.88,111.0,24.0,24.0,29.0,42.0
"Egypt, Arab Rep.",2537.13,3019.09,3876.36,,,,,
El Salvador,4052.62,4167.73,4408.52,121.0,22.0,25.0,31.0,36.0
Equatorial Guinea,10005.62,8380.74,8462.29,76.0,,,,
Estonia,23063.56,23397.88,27280.66,38834.0,26.0,25.0,30.0,40.0
Eswatini,4107.09,3889.85,4214.86,119.0,,,,
Ethiopia,771.52,855.76,943.97,165.0,27.0,26.0,44.0,
Faroe Islands,65572.61,67153.68,,,,,,
Fiji,6317.41,6175.89,5085.97,11567.0,,,,
Finland,49988.91,48628.64,53982.61,49853.0,40.0,41.0,31.0,37.0
France,41592.8,40578.64,43518.54,46062.0,32.0,30.0,25.0,32.0
French Polynesia,22094.76,21512.27,,,,,,
Gabon,7959.01,7767.0,8016.99,81.0,24.0,27.0,26.0,34.0
"Gambia, The",732.72,772.51,835.59,,,,,
Georgia,4722.04,4696.15,5042.39,14918.0,24.0,21.0,40.0,31.0
Germany,47973.61,46794.9,50801.79,54076.0,46.0,43.0,30.0,41.0
Ghana,2260.86,2246.63,2445.29,134.0,42.0,38.0,47.0,43.0
Greece,19756.99,19133.76,20276.54,28748.0,17.0,16.0,26.0,32.0
Greenland,54545.3,53256.24,,,,,,
Grenada,10466.88,10834.5,9928.62,15431.0,,,,
Guam,36556.67,38040.59,,,,,,
Guatemala,4478.42,4638.63,5025.58,123.0,34.0,40.0,,
Guinea,955.11,1052.59,1174.35,169.0,32.0,34.0,,47.0
Guinea-Bissau,802.77,749.45,812.96,175.0,,,,
Guyana,6145.82,6609.51,9374.8,68.0,,,,
Haiti,1479.35,1312.77,1814.67,2916.0,49.0,40.0,,
Honduras,2510.32,2574.36,2831.03,137.0,39.0,36.0,,46.0
"Hong Kong SAR, China",48537.57,48356.06,49660.63,,,,,
Hungary,16427.37,16735.66,18772.67,33030.0,23.0,23.0,31.0,40.0
Iceland,74469.8,68941.46,68383.77,55596.0,48.0,,36.0,46.0
India,1998.26,2072.24,2277.43,128.0,22.0,26.0,44.0,40.0
Indonesia,3893.86,4135.23,4291.81,12222.0,59.0,50.0,69.0,68.0
"Iran, Islamic Rep.",4046.34,3514.04,,,,,,
Iraq,5915.85,5943.46,5048.39,115.0,43.0,34.0,39.0,37.0
Ireland,79107.6,80886.62,99152.1,94392.0,56.0,56.0,40.0,49.0
Isle of Man,89112.67,86481.55,,,,,,
Israel,42063.45,43951.25,51430.08,35.0,42.0,39.0,28.0,37.0
Italy,34622.17,33673.48,35551.28,40861.0,33.0,33.0,22.0,29.0
Jamaica,5359.99,5369.5,4586.65,9975.0,36.0,,34.0,46.0
