,Country,CAF World Giving Index ranking,CAF World Giving Index score (%),Helping a stranger ranking,Helping a stranger (%),Donating money ranking,Donating money (%),"Volunteering time
ranking",Volunteering time (%),GDP,Year
95,Albania,96,34,78,57,48,36,118,8,6494.385713,2022
96,Tanzania,97,33,92,53,64,30,94,14,1135.539673,2022
97,Benin,98,32,89,54,97,19,56,24,1428.447177,2022
98,Spain,99,32,104,50,62,31,88,16,30115.70589,2022
99,France,100,32,116,38,70,30,32,29,43518.53851,2022
100,Jordan,101,32,21,73,111,14,115,9,4405.839424,2022
101,Greece,102,32,79,57,94,21,82,17,20276.54467,2022
102,Morocco,103,31,24,73,118,7,95,14,3496.758301,2022
103,Georgia,104,31,40,68,119,3,67,22,5042.385528,2022
104,Zimbabwe,105,31,63,63,114,10,79,19,1737.173977,2022
105,Romania,106,30,68,61,100,18,105,11,14861.90917,2022
106,Algeria,107,30,77,58,102,18,97,14,3765.034625,2022
107,Pakistan,108,29,94,53,81,25,111,10,1537.936411,2022
108,Italy,109,29,113,44,67,30,93,14,35551.28499,2022
109,Armenia,110,29,70,61,107,16,107,11,4670.008798,2022
110,Latvia,111,29,103,50,74,27,112,10,20642.16792,2022
111,Tunisia,112,28,61,63,115,9,98,13,3924.343925,2022
112,"Lao Peoples Democratic Republic
Democratic Republic",113,27,117,36,65,30,92,15,,2022
113,Portugal,114,26,98,52,105,17,113,10,24262.18094,2022
114,Lebanon,115,24,105,50,109,14,117,9,2670.441956,2022
115,Egypt,116,23,81,57,116,7,119,4,,2022
116,Afghanistan,117,21,112,44,117,7,99,13,,2022
117,Japan,118,20,118,24,103,18,83,17,39285.16311,2022
118,Cambodia,119,19,119,23,84,24,114,10,1590.95666,2022
