Country,year,GDPpc,WGI
Japan,2021,39312.66,12
Jordan,2021,4103.26,26
Kazakhstan,2021,10373.79,28
Kenya,2021,2081.8,58
Latvia,2021,21148.16,25
Lebanon,2021,4136.15,24
Lithuania,2021,23723.34,28
Mali,2021,873.79,31
Malta,2021,33486.67,31
Mexico,2021,10045.68,32
Mongolia,2021,4566.14,44
Morocco,2021,3795.38,23
Myanmar,2021,1209.93,51
Nepal,2021,1208.22,40
Netherlands,2021,57767.88,37
New Zealand,2021,48781.03,47
Nicaragua,2021,2045.54,37
Nigeria,2021,2065.75,52
Pakistan,2021,1505.01,25
Paraguay,2021,5891.5,41
Peru,2021,6621.57,34
Philippines,2021,3460.53,33
Poland,2021,17999.91,38
Portugal,2021,24567.51,20
Romania,2021,14858.23,28
Russian Federation,2021,12194.78,33
Saudi Arabia,2021,23185.87,35
Senegal,2021,1636.89,35
Serbia,2021,9230.18,35
Slovakia,2021,21391.93,32
Slovenia,2021,29291.4,28
South Africa,2021,7055.04,41
Spain,2021,30103.51,27
Sri Lanka,2021,4013.69,34
Sweden,2021,61028.74,34
Switzerland,2021,91991.6,28
Tajikistan,2021,897.05,45
Thailand,2021,7066.19,46
Tunisia,2021,3807.14,29
Uganda,2021,883.89,46
Ukraine,2021,4835.57,43
United Arab Emirates,2021,44315.55,44
United Kingdom of Great Britain and Northern Ireland,2021,46510.28,41
Uruguay,2021,17313.19,32
Uzbekistan,2021,1983.06,40
Zambia,2021,1137.34,43
Zimbabwe,2021,1773.92,37
Albania,2022,14218,34
Argentina,2022,20751,47
Australia,2022,51680,55
Austria,2022,55218,45
Benin,2022,3437,32
Bolivia (Plurinational State of),2022,8344,43
Brazil,2022,14916,47
Bulgaria,2022,23817,41
Cambodia,2022,4695,19
Cameroon,2022,3646,37
Canada,2022,48720,51
Chile,2022,23366,38
China,2022,17192,42
Colombia,2022,14324,42
Costa Rica,2022,19990,44
Croatia,2022,27717,37
Cyprus,2022,40107,40
Czechia,2022,40618,48
Denmark,2022,58932,46
Dominican Republic,2022,18608,44
Ecuador,2022,11009,42
El Salvador,2022,8422,36
Estonia,2022,38834,40
Finland,2022,49853,37
France,2022,46062,32
Gabon,2022,15970,34
Georgia,2022,14918,31
Germany,2022,54076,41
Ghana,2022,5693,43
Greece,2022,28748,32
Hungary,2022,33030,40
India,2022,6461,40
Indonesia,2022,12222,68
