Country,2017,2018,2020,2021,2022,CAF_2017,CAF_2018,CAF_2020,CAF_2021
Cayman Islands,81258.04,85234.84,83329.46,86568.77,,,,,
Central African Republic,414.74,435.93,435.47,461.14,979.0,32.0,,,
Chad,662.9,720.27,643.77,685.69,1611.0,27.0,25.0,,
Channel Islands,,,,,,,,,
Chile,15045.53,15795.71,13094.46,16265.1,23366.0,34.0,37.0,39.0,38.0
China,8816.99,9905.34,10408.67,12556.33,17192.0,17.0,16.0,28.0,42.0
Colombia,6450.32,6782.04,5307.22,6104.14,14324.0,29.0,35.0,35.0,42.0
Comoros,1414.59,1531.34,1519.59,1577.47,3048.0,,,,
"Congo, Democratic Republic of the",451.09,546.21,524.67,577.21,1106.0,35.0,,,
Congo,2088.5,2512.38,1838.45,2290.38,4188.0,24.0,27.0,35.0,
Costa Rica,12118.13,12383.15,12132.88,12472.44,19990.0,34.0,38.0,30.0,44.0
Côte d'Ivoire,2076.15,2275.5,2288.12,2549.04,5365.0,25.0,,,
Croatia,13655.82,15244.43,14198.75,17685.33,27717.0,20.0,21.0,30.0,37.0
Cuba,8543.36,8831.91,9499.59,,,,,,
Curaçao,18788.81,18956.1,16109.86,17717.6,,,,,
Cyprus,26697.17,29418.94,28036.19,31551.82,40107.0,43.0,41.0,32.0,40.0
Czechia,20636.2,23424.48,22992.88,26821.25,40618.0,22.0,22.0,30.0,48.0
Denmark,57610.1,61591.93,60915.42,68007.76,58932.0,46.0,44.0,37.0,46.0
Djibouti,2655.73,2755.84,2918.0,3150.44,5096.0,,,,
Dominica,7408.09,7833.2,7003.47,7653.17,11072.0,,,,
Dominican Republic,7513.49,7947.16,7167.92,8476.75,18608.0,39.0,39.0,39.0,44.0
Ecuador,6246.4,6321.35,5645.2,5965.13,11009.0,24.0,24.0,29.0,42.0
"Egypt, Arab Rep.",2315.9,2407.09,3398.8,3698.83,,,,,
El Salvador,3986.05,4145.86,3903.4,4551.18,8422.0,22.0,25.0,31.0,36.0
Equatorial Guinea,8410.4,8719.19,6327.6,7506.67,17788.0,,,,
Eritrea,,,,,1821.0,,,,
Estonia,20437.77,23165.85,23595.24,27943.7,38834.0,26.0,25.0,30.0,40.0
Eswatini,3824.05,4020.27,3372.9,3978.4,8957.0,,,,
Ethiopia,755.75,758.3,918.65,925.08,2908.0,27.0,26.0,44.0,
Faroe Islands,59328.17,62576.99,61980.29,69010.31,,,,,
Fiji,5825.13,6073.34,4864.12,4646.61,11567.0,,,,
Finland,46412.14,49987.63,49170.75,53654.75,49853.0,40.0,41.0,31.0,37.0
France,38781.05,41557.85,39055.28,43658.98,46062.0,32.0,30.0,25.0,32.0
French Polynesia,19743.95,20614.9,18910.38,19914.6,,,,,
Gabon,6975.7,7694.91,6680.08,8635.33,15970.0,24.0,27.0,26.0,34.0
"Gambia, The",632.0,683.32,704.03,772.15,,,,,
Georgia,4357.0,4722.04,4255.74,5023.27,14918.0,24.0,21.0,40.0,31.0
Germany,44652.59,47939.28,46772.83,51203.55,54076.0,46.0,43.0,30.0,41.0
Ghana,1998.74,2180.04,2176.58,2363.3,5693.0,42.0,38.0,47.0,43.0
Gibraltar,,,,,,,,,
Greece,18582.09,19756.99,17658.95,20192.6,28748.0,17.0,16.0,26.0,32.0
Greenland,50766.6,54545.3,54571.21,,,,,,
Grenada,9309.23,9574.28,8437.57,9010.57,15431.0,,,,
Guam,35663.03,35902.73,34780.86,35904.86,,,,,
Guatemala,4454.05,4485.73,4604.58,5025.54,8293.0,34.0,40.0,,
Guinea,843.46,944.42,1073.66,1189.18,2604.0,32.0,34.0,,47.0
Guinea-Bissau,718.25,781.64,710.26,795.12,2348.0,,,,
Guyana,6220.98,6094.91,6863.07,9998.54,19684.0,,,,
Haiti,1384.04,1494.22,1283.14,1829.59,2916.0,49.0,40.0,,
Honduras,2403.3,2457.69,2354.12,2771.72,5450.0,39.0,36.0,,46.0
Hong Kong,46160.43,48537.57,46107.77,49800.54,59520.0,44.0,,26.0,37.0
Hungary,14621.24,16425.1,16120.99,18728.12,33030.0,23.0,23.0,31.0,40.0
Iceland,72010.15,74461.48,59200.18,68727.64,55596.0,48.0,,36.0,46.0
India,1957.97,1974.38,1910.42,2256.59,6461.0,22.0,26.0,44.0,40.0
Indonesia,3839.79,3902.66,3894.27,4332.71,12222.0,59.0,50.0,69.0,68.0
Iran (Islamic Republic of),5758.59,3874.0,2746.42,4091.21,,45.0,41.0,39.0,43.0
Iraq,4725.19,5601.47,4332.3,4775.38,10003.0,43.0,34.0,39.0,37.0
Ireland,69970.95,79250.39,85420.19,100172.08,94392.0,56.0,56.0,40.0,49.0
Isle of Man,83507.8,89429.65,,,,,,,
Israel,41114.78,42406.85,44846.79,52170.71,40547.0,42.0,39.0,28.0,37.0
Italy,32406.72,34622.17,31911.04,35657.5,40861.0,33.0,33.0,22.0,29.0
Jamaica,5273.15,5594.49,4897.27,5183.58,9975.0,36.0,,34.0,46.0
Japan,38834.05,39727.12,39918.17,39312.66,42248.0,22.0,23.0,12.0,20.0
Jordan,4073.12,4146.41,4042.77,4103.26,10306.0,30.0,25.0,26.0,32.0
Kazakhstan,9247.58,9812.63,9121.64,10373.79,26565.0,28.0,26.0,28.0,34.0
Kenya,1675.97,1845.78,1936.42,2081.8,4926.0,54.0,47.0,58.0,61.0
Kiribati,1563.55,1605.01,1430.55,1606.46,2200.0,,,,
Korea (Democratic People's Republic of),,,,,,,,,
"Korea, Republic of",31616.84,33436.92,31721.3,34997.78,44621.0,34.0,32.0,22.0,
Kosovo,4009.38,4384.05,4310.81,5269.78,,33.0,31.0,46.0,43.0
Kuwait,29263.09,32007.52,24300.33,,41627.0,43.0,,,
Kyrgyz Republic,1242.77,1308.14,1182.52,1276.7,,,,,
Lao People's Democratic Republic,2439.46,2553.36,2593.36,2535.62,8111.0,20.0,,,
Latvia,15695.12,17865.03,18207.14,21148.16,31509.0,19.0,22.0,25.0,29.0
Lebanon,8679.9,9225.85,5599.96,4136.15,11564.0,28.0,30.0,24.0,24.0
Lesotho,1062.71,1161.73,989.85,1094.1,2718.0,28.0,,,
Liberia,706.89,700.04,597.53,675.66,1557.0,47.0,44.0,,
Libya,10529.27,11838.01,7568.04,6357.2,5893.0,45.0,,,
Liechtenstein,170874.29,175283.63,157754.95,,,,,,
Lithuania,16885.41,19186.36,20339.52,23723.34,38824.0,19.0,19.0,28.0,37.0
Luxembourg,110193.21,116786.51,117370.5,133590.15,118001.0,41.0,40.0,,
Macao,78985.64,84923.39,37646.32,43873.59,56078.0,,,,
Madagascar,503.5,512.54,462.4,500.51,1599.0,27.0,21.0,,
Malawi,500.17,537.93,628.7,634.84,993.0,35.0,38.0,,39.0
Malaysia,9979.8,11074.06,10160.78,11109.26,27402.0,,,,
Maldives,10062.98,10823.64,7282.36,10366.29,19609.0,,,,
Mali,795.68,856.36,822.91,873.79,2401.0,28.0,24.0,31.0,38.0
Malta,28823.53,31567.94,28977.57,33486.67,42856.0,47.0,47.0,31.0,45.0
Marshall Islands,4507.62,4769.19,5567.97,6172.15,3786.0,,,,
Mauritania,1634.64,1749.95,1868.47,2166.05,5834.0,20.0,25.0,,
Mauritius,10844.04,11645.98,9007.42,9106.24,20292.0,46.0,,34.0,37.0
Mexico,9434.39,9857.03,8655.0,10045.68,19130.0,24.0,28.0,32.0,44.0
Micronesia (Federated States of),3320.35,3623.33,3639.41,3571.34,3446.0,,,,
"Moldova, Republic of",3509.65,4232.21,4500.62,5230.66,12811.0,27.0,26.0,,
Monaco,173612.86,194280.82,182538.64,234315.46,,,,,
Mongolia,3708.25,4165.02,4041.17,4566.14,11825.0,39.0,38.0,44.0,46.0
Montenegro,7803.41,8850.09,7677.15,9465.7,,24.0,20.0,34.0,
Morocco,3288.5,3492.67,3258.12,3795.38,7620.0,26.0,26.0,23.0,31.0
Mozambique,462.7,504.54,449.96,491.84,1277.0,29.0,,,34.0
Myanmar,1175.2,1274.92,1477.45,1209.93,5242.0,54.0,58.0,51.0,52.0
Namibia,5453.57,5687.4,4251.17,4865.56,9396.0,32.0,,37.0,35.0
Nauru,9361.38,10400.99,9307.89,10648.14,9856.0,,,,
Nepal,1027.97,1161.53,1139.19,1208.22,4061.0,37.0,33.0,40.0,40.0
Netherlands,48675.22,53044.53,52162.57,57767.88,57534.0,51.0,53.0,37.0,46.0
New Caledonia,33874.92,36312.73,34800.76,37159.55,,,,,
New Zealand,42925.0,43250.44,41596.51,48781.03,42018.0,58.0,57.0,47.0,54.0
Nicaragua,2127.28,1981.86,1863.11,2045.54,5575.0,33.0,30.0,37.0,40.0
Niger,514.54,567.33,564.82,590.63,1259.0,32.0,24.0,,
Nigeria,1941.88,2125.83,2074.61,2065.75,5187.0,48.0,42.0,52.0,48.0
North Macedonia,5450.49,6108.74,5965.45,6694.64,16712.0,20.0,,,
Northern Mariana Islands,30751.64,25882.63,,,,,,,
Norway,75496.75,82267.81,67329.68,89154.28,65800.0,50.0,,36.0,45.0
Oman,17802.58,19887.57,16707.62,19509.47,30178.0,,,,
Pakistan,1567.64,1620.74,1322.32,1505.01,5150.0,28.0,29.0,25.0,29.0
Palau,16011.66,15948.28,14016.25,12083.89,14309.0,,,,
Panama,15185.97,15588.34,12569.17,14617.6,27003.0,30.0,35.0,,36.0
