quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Monthly_Price_Change_%
201901,210212,1.688357,2,1.5,1.2,372,01/01/2019,2019-01-01,125531,2019,1,1,Matched (3),1,2.78758457
201902,210212,1.67927,2,1.5,1.3,373,01/02/2019,2019-02-01,124018,2019,2,1,Matched (3),1,-0.538215555
201903,210212,1.653401,2,1.5,1.25,374,01/03/2019,2019-03-01,127885,2019,3,1,Matched (3),1,-1.540490809
201904,210212,1.641788,2,1.5,1.25,375,01/04/2019,2019-04-01,128853,2019,4,2,Matched (3),1,-0.702370447
201905,210212,1.674228,2,1.5,1.25,376,01/05/2019,2019-05-01,128682,2019,5,2,Matched (3),1,1.975894573
201906,210212,1.633514,2,1.5,1.25,377,01/06/2019,2019-06-01,129075,2019,6,2,Matched (3),1,-2.431807376
201907,210212,1.624054,2,1.55,1.25,378,01/07/2019,2019-07-01,128486,2019,7,3,Matched (3),1,-0.579119616
201908,210212,1.6655,2,1.54,1.16,379,01/08/2019,2019-08-01,127479,2019,8,3,Matched (3),1,2.552008739
201909,210212,1.679514,2,1.55,1.12,380,01/09/2019,2019-09-01,127702,2019,9,3,Matched (3),1,0.841429
201910,210212,1.632448,2,1.5,1.12,381,01/10/2019,2019-10-01,127514,2019,10,4,Matched (3),1,-2.802358301
201911,210212,1.673172,2,1.55,1.15,382,01/11/2019,2019-11-01,127910,2019,11,4,Matched (3),1,2.494658329
201912,210212,1.665,2,1.55,1.15,383,01/12/2019,2019-12-01,127767,2019,12,4,Matched (3),1,-0.488413624
202001,210212,1.659934,2,1.54,1.15,384,01/01/2020,2020-01-01,127661,2020,1,1,Matched (3),1,-0.304264264
202002,210212,1.6328,2,1.47,1.15,385,01/02/2020,2020-02-01,126570,2020,2,1,Matched (3),1,-1.634643305
202003,210212,1.673529,2,1.5,1.4,386,01/03/2020,2020-03-01,118933,2020,3,1,Matched (3),1,2.494426752
202004,210212,1.828571,2,2,1.45,387,01/04/2020,2020-04-01,74251,2020,4,2,Matched (3),1,9.264374863
202005,210212,2.166602,2.65,2,1.6,388,01/05/2020,2020-05-01,85259,2020,5,2,Matched (3),1,18.48607465
202006,210212,2.659394,3.25,2,1.6,389,01/06/2020,2020-06-01,94010,2020,6,2,Matched (3),1,22.744925
202007,210212,2.248396,3,2,1.6,390,01/07/2020,2020-07-01,102371,2020,7,3,Matched (3),1,-15.45457349
202008,210212,1.676797,1.8,1.5,1.135,391,01/08/2020,2020-08-01,112987,2020,8,3,Matched (3),1,-25.42252343
202009,210212,1.704135,1.99,1.6,1.15,392,01/09/2020,2020-09-01,116062,2020,9,3,Matched (3),1,1.630370283
202010,210212,1.749695,2,1.6,1.29,393,01/10/2020,2020-10-01,116826,2020,10,4,Matched (3),1,2.673497111
202011,210212,1.768116,2,1.31,1.07,394,01/11/2020,2020-11-01,82553,2020,11,4,Matched (3),1,1.052812062
202012,210212,1.846753,2,1.7,1.25,395,01/12/2020,2020-12-01,94790,2020,12,4,Matched (3),1,4.447502313
202101,210212,1.854804,2,1.6,1.29,396,01/01/2021,2021-01-01,94079,2021,1,1,Matched (3),1,0.435954348
202102,210212,1.878684,2,1.6,1.29,397,01/02/2021,2021-02-01,98049,2021,2,1,Matched (3),1,1.287467571
