Country,2018,2019,2021,2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
Croatia,15244.43,15331.88,17685.33,27717.0,20.0,21.0,30.0,37.0
Cuba,8831.91,9139.42,,,,,,
Curaçao,18956.1,19024.18,17717.6,,,,,
Cyprus,29418.94,29417.14,31551.82,40107.0,43.0,41.0,32.0,40.0
Czechia,23424.48,23664.85,26821.25,40618.0,22.0,22.0,30.0,48.0
Denmark,61591.93,59592.98,68007.76,58932.0,46.0,44.0,37.0,46.0
Djibouti,2755.84,2876.04,3150.44,5096.0,,,,
Dominica,7833.2,8561.59,7653.17,11072.0,,,,
Dominican Republic,7947.16,8173.34,8476.75,18608.0,39.0,39.0,39.0,44.0
Ecuador,6321.35,6233.26,5965.13,11009.0,24.0,24.0,29.0,42.0
"Egypt, Arab Rep.",2407.09,2869.58,3698.83,,,,,
El Salvador,4145.86,4280.29,4551.18,8422.0,22.0,25.0,31.0,36.0
Equatorial Guinea,8719.19,7317.39,7506.67,17788.0,,,,
Eritrea,,,,1821.0,,,,
Estonia,23165.85,23424.48,27943.7,38834.0,26.0,25.0,30.0,40.0
Eswatini,4020.27,3843.38,3978.4,8957.0,,,,
Ethiopia,758.3,840.45,925.08,2908.0,27.0,26.0,44.0,
Faroe Islands,62576.99,63383.2,69010.31,,,,,
Fiji,6073.34,5968.3,4646.61,11567.0,,,,
Finland,49987.63,48629.86,53654.75,49853.0,40.0,41.0,31.0,37.0
France,41557.85,40494.9,43658.98,46062.0,32.0,30.0,25.0,32.0
French Polynesia,20614.9,20023.5,19914.6,,,,,
Gabon,7694.91,7523.86,8635.33,15970.0,24.0,27.0,26.0,34.0
"Gambia, The",683.32,722.87,772.15,,,,,
Georgia,4722.04,4696.15,5023.27,14918.0,24.0,21.0,40.0,31.0
Germany,47939.28,46793.69,51203.55,54076.0,46.0,43.0,30.0,41.0
Ghana,2180.04,2167.91,2363.3,5693.0,42.0,38.0,47.0,43.0
Gibraltar,,,,,,,,
Greece,19756.99,19144.28,20192.6,28748.0,17.0,16.0,26.0,32.0
Greenland,54545.3,53256.24,,,,,,
Grenada,9574.28,9887.92,9010.57,15431.0,,,,
Guam,35902.73,37752.63,35904.86,,,,,
Guatemala,4485.73,4647.69,5025.54,8293.0,34.0,40.0,,
Guinea,944.42,1043.9,1189.18,2604.0,32.0,34.0,,47.0
Guinea-Bissau,781.64,730.61,795.12,2348.0,,,,
Guyana,6094.91,6477.3,9998.54,19684.0,,,,
Haiti,1494.22,1324.84,1829.59,2916.0,49.0,40.0,,
Honduras,2457.69,2519.37,2771.72,5450.0,39.0,36.0,,46.0
Hong Kong,48537.57,48356.06,49800.54,59520.0,44.0,,26.0,37.0
Hungary,16425.1,16782.95,18728.12,33030.0,23.0,23.0,31.0,40.0
Iceland,74461.48,68853.72,68727.64,55596.0,48.0,,36.0,46.0
India,1974.38,2047.23,2256.59,6461.0,22.0,26.0,44.0,40.0
Indonesia,3902.66,4151.23,4332.71,12222.0,59.0,50.0,69.0,68.0
Iran (Islamic Republic of),3874.0,3277.88,4091.21,,45.0,41.0,39.0,43.0
Iraq,5601.47,5621.18,4775.38,10003.0,43.0,34.0,39.0,37.0
Ireland,79250.39,80927.07,100172.08,94392.0,56.0,56.0,40.0,49.0
Isle of Man,89429.65,87157.47,,,,,,
Israel,42406.85,44452.23,52170.71,40547.0,42.0,39.0,28.0,37.0
Italy,34622.17,33673.75,35657.5,40861.0,33.0,33.0,22.0,29.0
Jamaica,5594.49,5626.17,5183.58,9975.0,36.0,,34.0,46.0
Japan,39727.12,40458.0,39312.66,42248.0,22.0,23.0,12.0,20.0
Jordan,4146.41,4205.56,4103.26,10306.0,30.0,25.0,26.0,32.0
Kazakhstan,9812.63,9812.6,10373.79,26565.0,28.0,26.0,28.0,34.0
Kenya,1845.78,1970.11,2081.8,4926.0,54.0,47.0,58.0,61.0
Kiribati,1605.01,1432.18,1606.46,2200.0,,,,
Korea (Democratic People's Republic of),,,,,,,,
"Korea, Republic of",33436.92,31902.42,34997.78,44621.0,34.0,32.0,22.0,
Kosovo,4384.05,4416.11,5269.78,,33.0,31.0,46.0,43.0
Kuwait,32007.52,30667.35,,41627.0,43.0,,,
Kyrgyz Republic,1308.14,1374.03,1276.7,,,,,
Lao People's Democratic Republic,2553.36,2598.51,2535.62,8111.0,20.0,,,
Latvia,17865.03,17945.22,21148.16,31509.0,19.0,22.0,25.0,29.0
